rank,score,razon_social,nit,municipios,categorias_gremio,telefono,email,direccion,web,web_viva,crm_detectado,wasi_plan,wasi_cliente_desde,fichas_publicadas,ventas_rango_cop,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
1,68,Inmobiliaria Johnson S.A.S,9016125529,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573122574023,inmobiliariajohnson@gmail.com,Cra. 43 A # 38 A SUR 15 Ofc. 201,https://inmobiliariajohnson.co/,sí,Wasi,Pro/Enterprise,2016-11-29,285,Menor de 1.000.000.000 COP,2025,49.956.539,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,30,17,1,12,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),285 fichas; administra arriendos (ingreso recurrente); ya paga software,Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,3502718692,CARRERA 43 A 38 A SUR 15 IN 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
2,65,Bodegas Y Proyectos S.A.S,,Medellín,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573015328300,comercial@bodegasyproyectos.com,CALLE 43SUR,http://www.bodegasyproyectos.com.co/,sí,Wasi,Pro/Enterprise,2025-11-26,264,,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,30,17,0,12,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),264 fichas; administra arriendos (ingreso recurrente); ya paga software,Meta Pixel activo; Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
3,61,Urve Inmobiliaria Colombia S.A.S.,9005986602,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576043224306,gerencia@urve.com.co,calle 49 sur #45a 300 s48 tower oficina 910,http://www.urve.com.co/,sí,Wasi,Pro/Enterprise,2020-01-08,375,Menor de 1.000.000.000 COP,2024,30.175.389,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,20,1,0,10,,Wasi plan Pro/Ent (API lista + ya paga SaaS),375 fichas publicadas; administra arriendos (ingreso recurrente); ya paga software,,email de decisor; oficina física,3146177335,CALLE 49 SUR 45 A 300 OF 910,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
4,60,Nurent S.A.S,9015944665,Sabaneta,Arrendamiento y administración de inmuebles,+573246514244,hector@nurent.co,Calle 60B SUR #44 - 100 Edf latitud Sur,http://www.nurent.co/,sí,Wasi,Pro/Enterprise,,253,Menor de 1.000.000.000 COP,2024,38.895.900,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),253 fichas; administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,3244131282,CARRERA 44 19 A 20 INTERIOR 107,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
5,59,Bi Home S.A.S,9016897192,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+573127711583,bi.homesas@gmail.com,Carrera 44 #20-22 Medellín,https://bihome.com.co/,sí,Wasi,Pro/Enterprise,2026-05-26,155,Entre 1.000.000.000 y 2.000.000.000 COP,2025,47.879.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Terminacion y acabado de edificios y obras de ingenieria civil,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),155 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3218309488,CARRERA 44 20 22 DISTRTITO VERA INT 2824,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
6,59,Inmobiliaria J. Uribe S.A.S,9012483062,Medellín,Arrendamiento y administración de inmuebles | Avalúos,+576042059719,inmobiliariauribe@hotmail.com,Circular 73 B # 76 E - 18 OFICINA 206 EDIFICIO SAN ESTEBAN MEDELLIN,https://inmobiliariajuribe.com/,sí,Wasi,Pro/Enterprise,2021-02-22,251,Entre 1.000.000.000 y 2.000.000.000 COP,2024,61.089.763,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),251 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3174397316,LUGAR Circular 73 B 76 e 18 Oficina 206 edificio san esteban,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
7,58,Londoño Gómez S.A.S,8909121406,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576043111616,info@londonogomez.com,CL 7 D N 43 A 99,http://www.londonogomez.com/,sí,SIMI,,,614,Entre 20.000.000.000 y 100.000.000.000 COP,2024,218.322.389.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,sí,sí,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,17,8,12,6,,SIMI/Domus (requiere conector nuevo),614 fichas publicadas; administra arriendos (ingreso recurrente),Meta Pixel activo; Google Analytics/Ads,email genérico; oficina física,6043111616,CALLE 7 D 43 A 99 PISO 6 TE ALMAGRAN,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
8,56,Inmobarco Inmobiliaria S.A.S,9015594570,Medellín,Arrendamiento y administración de inmuebles,+573235105282,administrativo@inmobarco.com,Cra. 42 # 5 SUR - 145 Ofc. 10 - 106,http://www.inmobarco.com/,sí,Wasi,Pro/Enterprise,2025-07-29,99,Menor de 1.000.000.000 COP,2023,40.000.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),99 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3014544877,CARRERA 42 5 SUR 145 OF 11 109,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
9,55,Grupo Isalen S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043017482,isarcopropiedades@gmail.com,Carrera43a#19-17,https://www.grupoisalen.com/,sí,Wasi,Pro/Enterprise,2026-06-03,183,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),183 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
10,54,Arrendamientos Giraldo Posada S.A.S.,9006425870,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043114985,info@giraldoposada.com,Centro Comercail Premium Plaza local 4450,http://www.giraldoposada.com/,sí,Wasi,Pro/Enterprise,2019-09-27,133,Menor de 1.000.000.000 COP,2025,301.889.607,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),133 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6043114985,CALLE 9 CR 43 A 31 INT 202,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
11,54,Estrategia Propiedad Raíz S.A.S.,9012709911,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043229732,info@estrategiapr.co,Cra 48 # 20 -114 Ofc 624 centro empresarial ciudad del rio piso 6,http://www.estrategiapr.co/,sí,Wasi+SIMI,Pro/Enterprise,2020-03-29,294,Menor de 1.000.000.000 COP,2024,223.301.595,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),294 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6043229732,CARRERA 48 20 114 OF 624,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
