rank_valor,score_valor,valor,friccion,razon_social,telefono,email,web,crm_detectado,fichas_publicadas,ventas_rango_cop,municipios,por_que_valor,por_que_friccion,nit,categorias_gremio,direccion,web_viva,wasi_plan,wasi_cliente_desde,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
1,99,54,2,Grupo Isalen S.A.S,+576043017482,isarcopropiedades@gmail.com,https://www.grupoisalen.com/,Wasi,183,,Medellín,183 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software",,Corretaje | Arrendamiento y administración de inmuebles,Carrera43a#19-17,sí,Pro/Enterprise,2026-06-03,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),183 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
2,91,54,3,Urve Inmobiliaria Colombia S.A.S.,+576043224306,gerencia@urve.com.co,http://www.urve.com.co/,Wasi,375,Menor de 1.000.000.000 COP,Envigado,375 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño · correo directo de gerencia",9005986602,Corretaje | Arrendamiento y administración de inmuebles,calle 49 sur #45a 300 s48 tower oficina 910,sí,Pro/Enterprise,2020-01-08,2024,30.175.389,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,20,1,0,10,,Wasi plan Pro/Ent (API lista + ya paga SaaS),375 fichas publicadas; administra arriendos (ingreso recurrente); ya paga software,,email de decisor; oficina física,3146177335,CALLE 49 SUR 45 A 300 OF 910,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
3,91,54,3,Nurent S.A.S,+573246514244,hector@nurent.co,http://www.nurent.co/,Wasi,253,Menor de 1.000.000.000 COP,Sabaneta,253 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño",9015944665,Arrendamiento y administración de inmuebles,Calle 60B SUR #44 - 100 Edf latitud Sur,sí,Pro/Enterprise,,2024,38.895.900,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),253 fichas; administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,3244131282,CARRERA 44 19 A 20 INTERIOR 107,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
4,85,54,4,Bi Home S.A.S,+573127711583,bi.homesas@gmail.com,https://bihome.com.co/,Wasi,155,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,155 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · tamaño ideal: el dueño decide",9016897192,Corretaje | Arrendamiento y administración de inmuebles,Carrera 44 #20-22 Medellín,sí,Pro/Enterprise,2026-05-26,2025,47.879.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Terminacion y acabado de edificios y obras de ingenieria civil,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),155 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3218309488,CARRERA 44 20 22 DISTRTITO VERA INT 2824,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
5,85,54,4,Inmobiliaria J. Uribe S.A.S,+576042059719,inmobiliariauribe@hotmail.com,https://inmobiliariajuribe.com/,Wasi,251,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,251 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · tamaño ideal: el dueño decide",9012483062,Arrendamiento y administración de inmuebles | Avalúos,Circular 73 B # 76 E - 18 OFICINA 206 EDIFICIO SAN ESTEBAN MEDELLIN,sí,Pro/Enterprise,2021-02-22,2024,61.089.763,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),251 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3174397316,LUGAR Circular 73 B 76 e 18 Oficina 206 edificio san esteban,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
6,84,46,2,Bodegas Y Proyectos S.A.S,+573015328300,comercial@bodegasyproyectos.com,http://www.bodegasyproyectos.com.co/,Wasi,264,,Medellín,264 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · sin versión en inglés,"Wasi: integración inmediata, ya paga software",,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,CALLE 43SUR,sí,Pro/Enterprise,2025-11-26,,,,,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,30,17,0,12,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),264 fichas; administra arriendos (ingreso recurrente); ya paga software,Meta Pixel activo; Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
7,81,48,3,Inmobarco Inmobiliaria S.A.S,+573235105282,administrativo@inmobarco.com,http://www.inmobarco.com/,Wasi,99,Menor de 1.000.000.000 COP,Medellín,99 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño",9015594570,Arrendamiento y administración de inmuebles,Cra. 42 # 5 SUR - 145 Ofc. 10 - 106,sí,Pro/Enterprise,2025-07-29,2023,40.000.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),99 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3014544877,CARRERA 42 5 SUR 145 OF 11 109,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
8,78,46,3,Inmobiliaria Johnson S.A.S,+573122574023,inmobiliariajohnson@gmail.com,https://inmobiliariajohnson.co/,Wasi,285,Menor de 1.000.000.000 COP,Medellín,285 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · sin versión en inglés,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño",9016125529,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Cra. 43 A # 38 A SUR 15 Ofc. 201,sí,Pro/Enterprise,2016-11-29,2025,49.956.539,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,sí,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,30,17,1,12,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),285 fichas; administra arriendos (ingreso recurrente); ya paga software,Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,3502718692,CARRERA 43 A 38 A SUR 15 IN 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
9,74,54,6,Casadolcecasa S.A.S,+573003375670,info@casadolcecasa.com.co,http://www.casadolcecasa.com.co/,Wasi,210,,Medellín,210 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · solo correo genérico",9019959112,Corretaje | Arrendamiento y administración de inmuebles,Calle 9 SUR # 50 FF - 10 Medellín,sí,Pro/Enterprise,,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,0,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),210 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,3003375670,CALLE 9 SUR 50 FF 10,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
10,70,54,7,Estrategia Propiedad Raíz S.A.S.,+576043229732,info@estrategiapr.co,http://www.estrategiapr.co/,Wasi+SIMI,294,Menor de 1.000.000.000 COP,Medellín,294 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño · solo correo genérico",9012709911,Corretaje | Arrendamiento y administración de inmuebles,Cra 48 # 20 -114 Ofc 624 centro empresarial ciudad del rio piso 6,sí,Pro/Enterprise,2020-03-29,2024,223.301.595,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),294 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6043229732,CARRERA 48 20 114 OF 624,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
